,street,code,district
1854,Стрельбищенский переулок,0106,Пресненский район
1855,улица Сергея Макеева,0106,Пресненский район
1856,Большой Знаменский переулок,0101;0109,
1857,Брошевский переулок,0107,Таганский район
1858,2-й Сыромятнический переулок,0107,Таганский район
1859,Известковый переулок,0107,Таганский район
1860,2-й Красносельский переулок,0104,Красносельский район
1861,1-й Красногвардейский проезд,0106,Пресненский район
1862,Верхняя Сыромятническая улица,0102;0107,
1863,1-й Заречный переулок,1206,поселение Новофедоровское
1864,Солнечная улица,0618,район Царицыно
1865,Солнечная улица,1012,район Старое Крюково
1866,Солнечная улица,1201,поселение Вороновское
1867,Солнечная улица,1102,поселение Воскресенское
1868,Солнечная улица,1202,поселение Киевский
1869,Солнечная улица,1204,поселение Краснопахорское
1870,Солнечная улица,1105,поселение Марушкинское
1871,Солнечная улица,1106,поселение Московский
1872,Солнечная улица,1206,поселение Новофедоровское
1873,Солнечная улица,1207,поселение Первомайское
1874,Солнечная улица,1208,поселение Роговское
1875,Солнечная улица,1108,поселение Рязановское
1876,Солнечная улица,1209,поселение Троицк
1877,Большая Октябрьская улица,1209,поселение Троицк
1878,Калужское шоссе,1204;1209,
1879,Центральная улица,0813,район Внуково
1880,Центральная улица,0902,район Митино
1881,Центральная улица,1201,поселение Вороновское
1882,Центральная улица,1102,поселение Воскресенское
1883,Центральная улица,1103,поселение Десеновское
1884,Центральная улица,1202,поселение Киевский
1885,Центральная улица,1203,поселение Кленовское
1886,Центральная улица,1204,поселение Краснопахорское
1887,Центральная улица,1105,поселение Марушкинское
1888,Центральная улица,1205,поселение Михайлово-Ярцевское
1889,Центральная улица,1106,поселение Московский
1890,Центральная улица,1206,поселение Новофедоровское
1891,Центральная улица,1207,поселение Первомайское
1892,Центральная улица,1208,поселение Роговское
1893,Центральная улица,1108,поселение Рязановское
1894,Центральная улица,1210,поселение Щаповское
1895,Центральная улица,1209,поселение Троицк
1896,улица Барышевская Роща,1111,поселение Щербинка
1897,Новостроевская улица,1111,поселение Щербинка
1898,Пушкинская улица,1111,поселение Щербинка
1899,Троицкий бульвар,1209,поселение Троицк
1900,Железнодорожная улица,1101,поселение Внуковское
1901,Железнодорожная улица,1202,поселение Киевский
1902,Железнодорожная улица,1104,поселение Кокошкино
1903,Железнодорожная улица,1206,поселение Новофедоровское
1904,Железнодорожная улица,1111,поселение Щербинка
1905,Железнодорожная улица,1012,район Старое Крюково
1906,Железнодорожная улица,0813,район Внуково
1907,Железнодорожная улица,0212,Молжаниновский район
1908,улица 40 лет Октября,1111,поселение Щербинка
1909,Долгопрудненское шоссе,0315,район Северный
1910,7-я Северная линия,0315,район Северный
1911,улица Каманина,0306,район Лианозово
1912,Митьковский проезд,0418,район Сокольники
1913,Новопресненский переулок,0106,Пресненский район
1914,улица Сайкина,0515;0609,
1915,Калашный переулок,0101;0106,
1916,Шубинский переулок,0101,район Арбат
1917,проезд Добролюбова,0305,Бутырский район
1918,6-й Лучевой просек,0418,район Сокольники
1919,2-й Лучевой просек,0418,район Сокольники
1920,3-й Лучевой просек,0418,район Сокольники
1921,улица Расплетина,0907,район Щукино
1922,Полевая улица,0813,район Внуково
1923,Полевая улица,0711,район Южное Бутово
1924,Полевая улица,1101,поселение Внуковское
1925,Полевая улица,1102,поселение Воскресенское
1926,Полевая улица,1103,поселение Десеновское
1927,Полевая улица,1202,поселение Киевский
1928,Полевая улица,1104,поселение Кокошкино
1929,Полевая улица,1204,поселение Краснопахорское
1930,Полевая улица,1105,поселение Марушкинское
1931,Полевая улица,1205,поселение Михайлово-Ярцевское
1932,Полевая улица,1106,поселение Московский
1933,Полевая улица,1206,поселение Новофедоровское
1934,Полевая улица,1207,поселение Первомайское
1935,Полевая улица,1208,поселение Роговское
1936,Полевая улица,1108,поселение Рязановское
1937,улица Хабарова,1106,поселение Московский
1938,улица Малая Полянка,0110,район Якиманка
1939,6-я улица Новые Сады,0811,район Ново-Переделкино
1940,Причальный проезд,0106;0906,
1941,улица Мещерякова,0903,район Покровское-Стрешнево
1942,Харьковская улица,0607,район Бирюлёво Западное
1943,улица Габричевского,0903,район Покровское-Стрешнево
1944,Мансуровский переулок,0109,район Хамовники
1945,переулок Маяковского,0107,Таганский район
1946,Большой Палашёвский переулок,0106;0108,
1947,площадь Журавлёва,0415;0417,
1948,Колодезный переулок,0418,район Сокольники
1949,улица Старый Гай,0404,район Вешняки
1950,Садовая-Сухаревская улица,0105,Мещанский район
1951,1-я Чоботовская аллея,0811,район Ново-Переделкино
1952,2-я Рощинская улица,0609,Даниловский район
1953,Нагатинский бульвар,0613,район Нагатино-Садовники
1954,Московская улица,0816,район Солнцево
1955,Московская улица,0813,район Внуково
1956,Московская улица,1103,поселение Десеновское
1957,Московская улица,1104,поселение Кокошкино
1958,Московская улица,1106,поселение Московский
1959,Московская улица,1206,поселение Новофедоровское
1960,Московская улица,1207,поселение Первомайское
1961,Московская улица,1111,поселение Щербинка
1962,Московская улица,1105,поселение Марушкинское
1963,Академическая площадь,1209,поселение Троицк
1964,Игарский проезд,0313,район Свиблово
1965,Каскадная улица,0409,район Косино-Ухтомский
1966,Верхняя Первомайская улица,0405;0408,
1967,Дмитровский переулок,0108,Тверской район
1968,Прохладная улица,0606,район Бирюлёво Восточное
1969,Михневский проезд,0606,район Бирюлёво Восточное
1970,Пестовский переулок,0107,Таганский район
1971,улица Дубки,0215,Тимирязевский район
1972,Якиманский переулок,0110,район Якиманка
1973,улица Бианки,1106,поселение Московский
1974,Костомаровский переулок,0107,Таганский район
1975,Красногвардейский бульвар,0106,Пресненский район
1976,Большой Николопесковский переулок,0101,район Арбат
1977,Доброслободская улица,0102,Басманный район
1978,Пяловская улица,0209,район Западное Дегунино
1979,улица Полины Осипенко,0217,Хорошёвский район
1980,улица Ефремова,0109,район Хамовники
1981,Днепропетровский проезд,0620,район Чертаново Центральное
1982,Большой Кисельный переулок,0105,Мещанский район
1983,Зюзинская улица,0710,район Черёмушки
1984,Новолужнецкий проезд,0109,район Хамовники
1985,Малый Толмачёвский переулок,0110,район Якиманка
1986,улица Знаменские Садки,0708,район Северное Бутово
1987,30-й километр Московской Кольцевой Автодороги,0607,район Бирюлёво Западное
1988,31-й километр Московской Кольцевой Автодороги,0607,район Бирюлёво Западное
1989,Никитский переулок,0108,Тверской район
1990,78-й километр Московской Кольцевой Автодороги,0209,район Западное Дегунино
1991,Фролов переулок,0104,Красносельский район
1992,бульвар Генерала Карбышева,0906,район Хорошёво-Мнёвники
1993,5-й Монетчиковский переулок,0103,район Замоскворечье
1994,улица Полковника Милиции Курочкина,1209,поселение Троицк
1995,Ялтинская улица,0615,Нагорный район
1996,Физическая улица,1209,поселение Троицк
1997,34-й километр Московской Кольцевой Автодороги,0708;0712,
1998,Богословский переулок,0106,Пресненский район
1999,Боровая улица,0507,район Лефортово
2000,Бродников переулок,0110,район Якиманка
2001,2-й Войковский проезд,0205,Войковский район
2002,4-я Гражданская улица,0403,район Богородское
2003,Жигулёвская улица,0506,район Кузьминки
2004,Ермолаевский переулок,0106,Пресненский район
2005,улица Анатолия Живова,0106,Пресненский район
2006,улица Академика Комарова,0308,район Марфино
2007,улица Медиков,0618,район Царицыно
2008,Молодёжная улица,0702,Гагаринский район
2009,Молодёжная улица,1202,поселение Киевский
2010,Молодёжная улица,1104,поселение Кокошкино
2011,Молодёжная улица,1105,поселение Марушкинское
2012,Молодёжная улица,1108,поселение Рязановское
2013,Молодёжная улица,1111,поселение Щербинка
2014,Молодёжная улица,1209,поселение Троицк
2015,улица Можайский Вал,0805,район Дорогомилово
2016,Сумская улица,0619,район Чертаново Северное
2017,7-я улица Текстильщиков,0514,район Текстильщики
2018,Архангельский переулок,0102,Басманный район
2019,улица Бажова,0312,район Ростокино
2020,улица Пржевальского,0820,район Очаково-Матвеевское
2021,улица Раевского,0805,район Дорогомилово
2022,Рождественская улица,0512,район Некрасовка
2023,Рождественская улица,1202,поселение Киевский
2024,Рождественская улица,1207,поселение Первомайское
2025,Рождественская улица,1209,поселение Троицк
2026,улица Липчанского,0512,район Некрасовка
2027,улица Недорубова,0512,район Некрасовка
2028,Красностуденческий проезд,0215,Тимирязевский район
2029,Большой Симоновский переулок,0107,Таганский район
2030,улица Никитина,1106,поселение Московский
2031,Спартаковский переулок,0102,Басманный район
2032,Малый Златоустинский переулок,0102,Басманный район
2033,2-й Балтийский переулок,0201,район Аэропорт
2034,Малый Конюшковский переулок,0106,Пресненский район
2035,8-я улица Соколиной Горы,0408;0417,
2036,9-я улица Соколиной Горы,0417,район Соколиная Гора
2037,4-я Магистральная улица,0217,Хорошёвский район
2038,Козицкий переулок,0108,Тверской район
2039,Электродный проезд,0417,район Соколиная Гора
2040,Михневская улица,0606,район Бирюлёво Восточное
2041,улица Шумилова,0506,район Кузьминки
2042,1-я улица Текстильщиков,0514,район Текстильщики
2043,Газгольдерная улица,0510,Нижегородский район
2044,8-й проезд Марьиной Рощи,0309,район Марьина Роща
2045,проезд Нансена,0313,район Свиблово
2046,Нововладыкинский проезд,0311,район Отрадное
2047,улица Советской Армии,0105;0309,
2048,5-й проезд Марьиной Рощи,0309,район Марьина Роща
2049,2-я Рыбинская улица,0418,район Сокольники
2050,2-я улица Энтузиастов,0413,район Перово
2051,проезд Одоевского,0712,район Ясенево
2052,улица Бунинская Аллея,0711,район Южное Бутово
2053,улица Генерала Глаголева,0906,район Хорошёво-Мнёвники
2054,Строительный проезд,0908,район Южное Тушино
2055,Старопетровский проезд,0205,Войковский район
2056,Привокзальная площадь,1005,район Крюково
2057,Большая Декабрьская улица,0106,Пресненский район
2058,Плотников переулок,0101;0109,
2059,Тишинская площадь,0106,Пресненский район
2060,Садовнический проезд,0103,район Замоскворечье
2061,Малая Андроньевская улица,0107,Таганский район
2062,Бутовский тупик,1111,поселение Щербинка
2063,бульвар Академика Ландау,0315,район Северный
2064,улица Тюрина,0606,район Бирюлёво Восточное
2065,1-й Стрелецкий проезд,0309,район Марьина Роща
2066,улица Авиаконструктора Микояна,0217,Хорошёвский район
2067,Северодвинская улица,0314,район Северное Медведково
2068,4-й Кожевнический переулок,0609,Даниловский район
2069,Малая Тульская улица,0609;0610,
2070,Мерзляковский переулок,0101;0106,
2071,Электрический переулок,0106,Пресненский район
2072,Лазоревый проезд,0313,район Свиблово
2073,Гранатный переулок,0106,Пресненский район
2074,Выборгская улица,0205,Войковский район
2075,улица Атарбекова,0415,район Преображенское
2076,Волховский переулок,0102,Басманный район
2077,проезд Донелайтиса,0908,район Южное Тушино
2078,улица Маршала Мерецкова,0907,район Щукино
2079,2-я Прядильная улица,0408,район Измайлово
2080,Челюскинская улица,0307,Лосиноостровский район
2081,улица Захарьинские Дворики,0711,район Южное Бутово
2082,Базовая улица,0813,район Внуково
2083,Симферопольский проезд,0615,Нагорный район
2084,Скатертный переулок,0101;0106,
2085,3-й Лихачёвский переулок,0207,Головинский район
2086,2-й Кожуховский проезд,0609,Даниловский район
2087,улица Кухмистерова,0511,район Печатники
2088,Народный проспект,0408,район Измайлово
2089,Вересковая улица,0313,район Свиблово
2090,Кольская улица,0303;0313,
2091,улица Красная Сосна,0317,Ярославский район
2092,1-й Лучевой просек,0418,район Сокольники
2093,проспект 40 лет Октября,0508,район Люблино
2094,улица Айвазовского,0712,район Ясенево
2095,Тарусская улица,0712,район Ясенево
2096,Производственная улица,0816,район Солнцево
2097,Производственная улица,1105,поселение Марушкинское
2098,улица Максимова,0907,район Щукино
2099,Парусный проезд,0908,район Южное Тушино
2100,Мишина улица,0213,Савёловский район
2101,1-я Квесисская улица,0213,Савёловский район
2102,Ижорский проезд,0208,Дмитровский район
2103,Канатчиковский проезд,0610,Донской район
2104,1-й Кожевнический переулок,0609,Даниловский район
2105,бульвар Энтузиастов,0107,Таганский район
2106,Машкинское шоссе,0212;0901,
2107,Тестовская улица,0106,Пресненский район
2108,Корабельная улица,0614,район Нагатинский Затон
2109,Малый Путинковский переулок,0108,Тверской район
2110,2-я Квесисская улица,0213,Савёловский район
2111,2-я улица Марьиной Рощи,0309,район Марьина Роща
2112,2-й Новоподмосковный переулок,0205,Войковский район
2113,Посланников переулок,0102,Басманный район
2114,Рижский проезд,0301,Алексеевский район
2115,2-я Филёвская улица,0818,район Филёвский Парк
2116,улица Льва Яшина,0512,район Некрасовка
2117,Композиторская улица,0101,район Арбат
2118,Мясницкий проезд,0102;0104,
2119,3-я Северная линия,0315,район Северный
2120,Яхромская улица,0208,Дмитровский район
2121,Миусская площадь,0108,Тверской район
2122,1-й Спасоналивковский переулок,0110,район Якиманка
2123,4-й Вятский переулок,0213,Савёловский район
2124,Винницкая улица,0815,район Раменки
2125,проезд Якушкина,0311,район Отрадное
2126,Сеченовский переулок,0109,район Хамовники
2127,Юрьевский переулок,0507,район Лефортово
2128,Староникольская улица,0711,район Южное Бутово
2129,Староникольская улица,1207,поселение Первомайское
2130,1-й Силикатный проезд,0906,район Хорошёво-Мнёвники
2131,3-й Угрешский проезд,0511,район Печатники
2132,улица Линии Октябрьской Железной Дороги,0215,Тимирязевский район
2133,80-й километр Московской Кольцевой Автодороги,0208,Дмитровский район
2134,Гамсоновский переулок,0609,Даниловский район
2135,улица Кожевнический Вражек,0609,Даниловский район
2136,33-й километр Московской Кольцевой Автодороги,0621,район Чертаново Южное
2137,2-й Кадашёвский переулок,0110,район Якиманка
2138,Пионерская улица,0813,район Внуково
2139,Пионерская улица,1111,поселение Щербинка
2140,Пионерская улица,1209,поселение Троицк
2141,улица Василисы Кожиной,0818,район Филёвский Парк
